municipality_id,lesson_variant_group_id,display_order,internal_item_id,lesson_condition_profile,selected_branch_order,category_id,category_name,teaching_box_id,canonical_review_path,canonical_checked_date,canonical_reviewer,review_status,note
M009,,11,I002,PLASTIC_PET_CAP,1,C-M009-01,もやせるごみ,,data/research/app_readiness/m009_item_review.csv,2026-08-31,OPENAI_M009_APP_READY_V1,COMPLETE,既存APP_READY正本のCOMPLETE枝を授業用に選択。公式根拠はcanonical reviewに保持。
M009,,12,I003,PLASTIC_PET_LABEL,1,C-M009-01,もやせるごみ,,data/research/app_readiness/m009_item_review.csv,2026-08-31,OPENAI_M009_APP_READY_V1,COMPLETE,既存APP_READY正本のCOMPLETE枝を授業用に選択。公式根拠はcanonical reviewに保持。
M009,,13,I027,STANDARD_DRY_BATTERY,1,C-M009-06,廃乾電池,,data/research/app_readiness/m009_item_review.csv,2026-08-31,OPENAI_M009_APP_READY_V1,COMPLETE,既存APP_READY正本のCOMPLETE枝を授業用に選択。公式根拠はcanonical reviewに保持。
M009,,14,I018,HOUSEHOLD_FOOD_WASTE,1,C-M009-01,もやせるごみ,,data/research/app_readiness/m009_item_review.csv,2026-08-31,OPENAI_M009_APP_READY_V1,COMPLETE,既存APP_READY正本のCOMPLETE枝を授業用に選択。公式根拠はcanonical reviewに保持。
M009,,15,I010,CLEAN_PLASTIC_SNACK_BAG,1,C-M009-01,もやせるごみ,,data/research/app_readiness/m009_item_review.csv,2026-08-31,OPENAI_M009_APP_READY_V1,COMPLETE,既存APP_READY正本のCOMPLETE枝を授業用に選択。公式根拠はcanonical reviewに保持。
M020,,11,I002,PLASTIC_PET_CAP,1,C-M020-01,可燃ごみ,,data/research/app_readiness/m020_item_review.csv,2026-08-31,OPENAI_M020_APP_READY_V1,COMPLETE,既存APP_READY正本のCOMPLETE枝を授業用に選択。公式根拠はcanonical reviewに保持。
M020,,12,I003,PLASTIC_PET_LABEL,1,C-M020-01,可燃ごみ,,data/research/app_readiness/m020_item_review.csv,2026-08-31,OPENAI_M020_APP_READY_V1,COMPLETE,既存APP_READY正本のCOMPLETE枝を授業用に選択。公式根拠はcanonical reviewに保持。
M020,,13,I027,STANDARD_DRY_BATTERY,1,C-M020-02,不燃・粗大ごみ,,data/research/app_readiness/m020_item_review.csv,2026-08-31,OPENAI_M020_APP_READY_V1,COMPLETE,既存APP_READY正本のCOMPLETE枝を授業用に選択。公式根拠はcanonical reviewに保持。
M020,,14,I018,HOUSEHOLD_FOOD_WASTE,1,C-M020-01,可燃ごみ,,data/research/app_readiness/m020_item_review.csv,2026-08-31,OPENAI_M020_APP_READY_V1,COMPLETE,既存APP_READY正本のCOMPLETE枝を授業用に選択。公式根拠はcanonical reviewに保持。
M020,,15,I010,CLEAN_PLASTIC_SNACK_BAG,1,C-M020-01,可燃ごみ,,data/research/app_readiness/m020_item_review.csv,2026-08-31,OPENAI_M020_APP_READY_V1,COMPLETE,既存APP_READY正本のCOMPLETE枝を授業用に選択。公式根拠はcanonical reviewに保持。
M094,,11,I002,PLASTIC_PET_CAP,1,C-M094-03,リサイクルプラ,,data/research/app_readiness/m094_item_review.csv,2026-08-24,OPENAI_CODEX_M094_APP_READINESS_V1,COMPLETE,既存APP_READY正本のCOMPLETE枝を授業用に選択。公式根拠はcanonical reviewに保持。
